2020.06.24 18:20:11 INFO  started: Metals version 0.9.0 in workspace 'C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2'
2020.06.24 18:20:12 INFO  time: initialize in 0.42s
2020.06.24 18:20:12 WARN  no build tool detected in workspace 'C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.06.24 18:20:12 INFO  no build target: using presentation compiler with only scala-library
2020.06.24 18:20:16 WARN  no build target for: C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2\Task2.scala
2020.06.24 18:24:27 WARN  no build target for: C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2\Task2.scala
2020.06.24 18:24:34 WARN  no build target for: C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2\Task2.scala
2020.06.24 18:31:16 WARN  no build target for: C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2\Task2.scala
2020.06.24 18:31:22 WARN  no build target for: C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2\Task2.scala
2020.06.24 18:31:26 WARN  no build tool detected in workspace 'C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.06.24 18:31:26 WARN  no build target for: C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2\Task2.scala
2020.06.24 18:31:26 WARN  no build tool detected in workspace 'C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.06.24 18:34:27 WARN  no build target for: C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2\Task2.scala
2020.06.24 18:34:41 WARN  no build target for: C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2\Task2.scala
2020.06.24 18:35:42 WARN  no build target for: C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2\Task2.scala
2020.06.24 18:36:09 WARN  no build target for: C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2\Task2.scala
2020.06.24 18:36:17 WARN  no build tool detected in workspace 'C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.06.24 18:36:17 WARN  no build target for: C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2\Task2.scala
2020.06.24 18:36:38 WARN  no build target for: C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2\Task2.scala
2020.06.24 18:37:27 WARN  no build target for: C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2\Task2.scala
2020.06.24 18:39:21 WARN  no build target for: C:\UWaterloo\Fourth Year\ECE454\Assignments\Assignment2\Task2.scala
